x,y,z,phi,theta,psi
3.5638e-05,-0.0031682,-0.00033483,1.2801,0.012552,0.0017172
3.5703e-05,-0.0031717,-0.00033777,1.2826,0.012573,0.0017617
3.5768e-05,-0.0031751,-0.00034072,1.2851,0.012595,0.0018063
3.5832e-05,-0.0031786,-0.00034368,1.2876,0.012617,0.001851
3.5897e-05,-0.0031819,-0.00034665,1.2901,0.012638,0.0018959
3.5962e-05,-0.0031852,-0.00034962,1.2926,0.01266,0.0019409
3.6026e-05,-0.0031885,-0.0003526,1.295,0.012681,0.0019859
3.609e-05,-0.0031917,-0.00035559,1.2974,0.012702,0.0020311
3.6155e-05,-0.0031949,-0.00035859,1.2998,0.012723,0.0020764
3.6219e-05,-0.003198,-0.00036159,1.3022,0.012744,0.0021219
3.6283e-05,-0.003201,-0.00036461,1.3046,0.012765,0.0021674
3.6347e-05,-0.0032041,-0.00036762,1.307,0.012785,0.002213
3.6411e-05,-0.003207,-0.00037065,1.3093,0.012806,0.0022587
3.6474e-05,-0.0032099,-0.00037368,1.3116,0.012827,0.0023046
3.6538e-05,-0.0032128,-0.00037673,1.3139,0.012847,0.0023505
3.6602e-05,-0.0032156,-0.00037977,1.3162,0.012867,0.0023966
3.6666e-05,-0.0032184,-0.00038283,1.3185,0.012888,0.0024427
3.6729e-05,-0.0032211,-0.00038589,1.3208,0.012908,0.0024889
3.6793e-05,-0.0032238,-0.00038896,1.323,0.012928,0.0025353
3.6856e-05,-0.0032264,-0.00039203,1.3252,0.012948,0.0025817
3.692e-05,-0.003229,-0.00039512,1.3274,0.012967,0.0026282
3.6983e-05,-0.0032315,-0.00039821,1.3296,0.012987,0.0026748
3.7046e-05,-0.003234,-0.0004013,1.3318,0.013007,0.0027215
3.711e-05,-0.0032365,-0.0004044,1.334,0.013027,0.0027683
3.7173e-05,-0.0032389,-0.00040751,1.3361,0.013046,0.0028152
3.7236e-05,-0.0032412,-0.00041063,1.3383,0.013065,0.0028622
3.7299e-05,-0.0032435,-0.00041375,1.3404,0.013085,0.0029092
3.7363e-05,-0.0032458,-0.00041688,1.3425,0.013104,0.0029564
3.7426e-05,-0.003248,-0.00042001,1.3446,0.013123,0.0030036
3.7489e-05,-0.0032502,-0.00042315,1.3467,0.013142,0.0030509
3.7552e-05,-0.0032523,-0.0004263,1.3487,0.013161,0.0030983
3.7616e-05,-0.0032544,-0.00042945,1.3508,0.01318,0.0031457
3.7679e-05,-0.0032565,-0.00043261,1.3528,0.013199,0.0031933
3.7742e-05,-0.0032585,-0.00043578,1.3549,0.013218,0.0032409
3.7805e-05,-0.0032605,-0.00043895,1.3569,0.013237,0.0032886
3.7868e-05,-0.0032624,-0.00044212,1.3589,0.013255,0.0033364
3.7932e-05,-0.0032643,-0.0004453,1.3608,0.013274,0.0033842
3.7995e-05,-0.0032662,-0.00044849,1.3628,0.013292,0.0034322
3.8058e-05,-0.003268,-0.00045169,1.3648,0.013311,0.0034802
3.8122e-05,-0.0032697,-0.00045488,1.3667,0.013329,0.0035282
3.8185e-05,-0.0032715,-0.00045809,1.3686,0.013348,0.0035764
3.8248e-05,-0.0032732,-0.0004613,1.3705,0.013366,0.0036246
3.8312e-05,-0.0032748,-0.00046451,1.3724,0.013384,0.0036729
3.8375e-05,-0.0032764,-0.00046774,1.3743,0.013402,0.0037212
3.8439e-05,-0.003278,-0.00047096,1.3762,0.01342,0.0037696
3.8502e-05,-0.0032796,-0.00047419,1.378,0.013438,0.0038181
3.8566e-05,-0.0032811,-0.00047743,1.3799,0.013456,0.0038666
3.8629e-05,-0.0032825,-0.00048067,1.3817,0.013474,0.0039152
3.8693e-05,-0.0032839,-0.00048392,1.3835,0.013492,0.0039639
3.8757e-05,-0.0032853,-0.00048717,1.3853,0.01351,0.0040126
3.8821e-05,-0.0032867,-0.00049043,1.3871,0.013527,0.0040614
3.8885e-05,-0.003288,-0.00049369,1.3889,0.013545,0.0041102
3.8949e-05,-0.0032893,-0.00049695,1.3907,0.013563,0.0041591
3.9013e-05,-0.0032905,-0.00050022,1.3924,0.01358,0.0042081
3.9077e-05,-0.0032917,-0.0005035,1.3942,0.013598,0.0042571
3.9141e-05,-0.0032929,-0.00050678,1.3959,0.013615,0.0043062
3.9205e-05,-0.0032941,-0.00051007,1.3976,0.013633,0.0043553
3.9269e-05,-0.0032952,-0.00051336,1.3994,0.01365,0.0044045
3.9334e-05,-0.0032962,-0.00051665,1.401,0.013667,0.0044537
3.9398e-05,-0.0032973,-0.00051995,1.4027,0.013684,0.004503
3.9463e-05,-0.0032983,-0.00052325,1.4044,0.013702,0.0045524
3.9528e-05,-0.0032993,-0.00052656,1.4061,0.013719,0.0046018
3.9592e-05,-0.0033002,-0.00052987,1.4077,0.013736,0.0046512
3.9657e-05,-0.0033011,-0.00053319,1.4094,0.013753,0.0047007
3.9722e-05,-0.003302,-0.00053651,1.411,0.01377,0.0047502
3.9787e-05,-0.0033028,-0.00053983,1.4126,0.013787,0.0047998
3.9852e-05,-0.0033036,-0.00054316,1.4142,0.013804,0.0048494
3.9918e-05,-0.0033044,-0.00054649,1.4158,0.013821,0.0048991
3.9983e-05,-0.0033051,-0.00054983,1.4174,0.013838,0.0049488
4.0049e-05,-0.0033059,-0.00055317,1.4189,0.013855,0.0049986
4.0114e-05,-0.0033065,-0.00055651,1.4205,0.013872,0.0050484
4.018e-05,-0.0033072,-0.00055986,1.4221,0.013888,0.0050983
4.0246e-05,-0.0033078,-0.00056321,1.4236,0.013905,0.0051482
4.0312e-05,-0.0033084,-0.00056657,1.4251,0.013922,0.0051981
4.0378e-05,-0.003309,-0.00056993,1.4266,0.013939,0.0052481
4.0444e-05,-0.0033095,-0.00057329,1.4281,0.013955,0.0052981
4.051e-05,-0.00331,-0.00057666,1.4296,0.013972,0.0053481
4.0577e-05,-0.0033105,-0.00058003,1.4311,0.013989,0.0053982
4.0643e-05,-0.0033109,-0.0005834,1.4326,0.014005,0.0054484
4.071e-05,-0.0033113,-0.00058678,1.4341,0.014022,0.0054985
4.0777e-05,-0.0033117,-0.00059016,1.4355,0.014038,0.0055487
4.0844e-05,-0.0033121,-0.00059354,1.437,0.014055,0.005599
4.0911e-05,-0.0033124,-0.00059693,1.4384,0.014071,0.0056493
4.0978e-05,-0.0033127,-0.00060032,1.4398,0.014088,0.0056996
4.1046e-05,-0.003313,-0.00060371,1.4412,0.014104,0.0057499
4.1113e-05,-0.0033132,-0.00060711,1.4426,0.01412,0.0058003
4.1181e-05,-0.0033135,-0.00061051,1.444,0.014137,0.0058507
4.1249e-05,-0.0033136,-0.00061392,1.4454,0.014153,0.0059011
4.1317e-05,-0.0033138,-0.00061732,1.4468,0.01417,0.0059516
4.1385e-05,-0.0033139,-0.00062073,1.4481,0.014186,0.0060021
4.1454e-05,-0.0033141,-0.00062414,1.4495,0.014202,0.0060526
4.1522e-05,-0.0033141,-0.00062756,1.4508,0.014218,0.0061032
4.1591e-05,-0.0033142,-0.00063098,1.4522,0.014235,0.0061538
4.166e-05,-0.0033142,-0.0006344,1.4535,0.014251,0.0062044
4.1729e-05,-0.0033143,-0.00063782,1.4548,0.014267,0.006255
4.1798e-05,-0.0033142,-0.00064125,1.4561,0.014283,0.0063057
