x,y,z,phi,theta,psi
1.6054e-07,5.4089e-09,0.10957,-1.4929e-08,-3.0896e-06,-5.0526e-08
1.6379e-07,5.5871e-09,0.11061,-1.4956e-08,-3.121e-06,-5.1009e-08
1.6709e-07,5.77e-09,0.11165,-1.4984e-08,-3.1526e-06,-5.1493e-08
1.7044e-07,5.9575e-09,0.1127,-1.5011e-08,-3.1843e-06,-5.198e-08
1.7383e-07,6.1497e-09,0.11375,-1.5038e-08,-3.2163e-06,-5.2469e-08
1.7728e-07,6.3467e-09,0.1148,-1.5065e-08,-3.2483e-06,-5.296e-08
1.8077e-07,6.5487e-09,0.11586,-1.5091e-08,-3.2806e-06,-5.3454e-08
1.8431e-07,6.7557e-09,0.11692,-1.5118e-08,-3.313e-06,-5.3949e-08
1.879e-07,6.9677e-09,0.11798,-1.5145e-08,-3.3456e-06,-5.4447e-08
1.9154e-07,7.185e-09,0.11905,-1.5171e-08,-3.3784e-06,-5.4946e-08
1.9523e-07,7.4075e-09,0.12012,-1.5198e-08,-3.4114e-06,-5.5448e-08
1.9897e-07,7.6354e-09,0.1212,-1.5224e-08,-3.4445e-06,-5.5952e-08
2.0277e-07,7.8688e-09,0.12227,-1.525e-08,-3.4778e-06,-5.6458e-08
2.0661e-07,8.1078e-09,0.12336,-1.5276e-08,-3.5112e-06,-5.6966e-08
2.1051e-07,8.3525e-09,0.12444,-1.5302e-08,-3.5449e-06,-5.7476e-08
2.1446e-07,8.6029e-09,0.12553,-1.5328e-08,-3.5787e-06,-5.7989e-08
2.1846e-07,8.8592e-09,0.12663,-1.5354e-08,-3.6126e-06,-5.8503e-08
2.2252e-07,9.1215e-09,0.12772,-1.538e-08,-3.6468e-06,-5.902e-08
2.2663e-07,9.3899e-09,0.12882,-1.5406e-08,-3.6811e-06,-5.9539e-08
2.3079e-07,9.6645e-09,0.12992,-1.5432e-08,-3.7156e-06,-6.0059e-08
2.3501e-07,9.9453e-09,0.13103,-1.5457e-08,-3.7502e-06,-6.0582e-08
2.3928e-07,1.0233e-08,0.13214,-1.5483e-08,-3.7851e-06,-6.1108e-08
2.4361e-07,1.0526e-08,0.13325,-1.5508e-08,-3.8201e-06,-6.1635e-08
2.48e-07,1.0827e-08,0.13437,-1.5534e-08,-3.8553e-06,-6.2164e-08
2.5244e-07,1.1134e-08,0.13549,-1.5559e-08,-3.8906e-06,-6.2696e-08
2.5694e-07,1.1448e-08,0.13661,-1.5585e-08,-3.9262e-06,-6.3229e-08
2.6149e-07,1.1769e-08,0.13774,-1.561e-08,-3.9619e-06,-6.3765e-08
2.661e-07,1.2097e-08,0.13887,-1.5635e-08,-3.9977e-06,-6.4303e-08
2.7078e-07,1.2432e-08,0.14,-1.5661e-08,-4.0338e-06,-6.4843e-08
2.7551e-07,1.2775e-08,0.14114,-1.5686e-08,-4.07e-06,-6.5385e-08
2.8029e-07,1.3125e-08,0.14228,-1.5711e-08,-4.1064e-06,-6.5929e-08
2.8514e-07,1.3482e-08,0.14342,-1.5736e-08,-4.143e-06,-6.6476e-08
2.9005e-07,1.3848e-08,0.14457,-1.5761e-08,-4.1798e-06,-6.7024e-08
2.9502e-07,1.4221e-08,0.14572,-1.5786e-08,-4.2167e-06,-6.7575e-08
3.0005e-07,1.4602e-08,0.14687,-1.5811e-08,-4.2538e-06,-6.8127e-08
3.0514e-07,1.4991e-08,0.14803,-1.5836e-08,-4.2911e-06,-6.8682e-08
3.1029e-07,1.5388e-08,0.14919,-1.5861e-08,-4.3286e-06,-6.9239e-08
3.1551e-07,1.5793e-08,0.15035,-1.5886e-08,-4.3662e-06,-6.9798e-08
3.2078e-07,1.6207e-08,0.15151,-1.5911e-08,-4.404e-06,-7.0359e-08
3.2612e-07,1.663e-08,0.15268,-1.5936e-08,-4.442e-06,-7.0922e-08
3.3153e-07,1.7061e-08,0.15385,-1.5961e-08,-4.4802e-06,-7.1488e-08
3.3699e-07,1.7501e-08,0.15503,-1.5986e-08,-4.5185e-06,-7.2055e-08
3.4252e-07,1.795e-08,0.1562,-1.601e-08,-4.557e-06,-7.2625e-08
3.4812e-07,1.8408e-08,0.15738,-1.6035e-08,-4.5958e-06,-7.3196e-08
3.5378e-07,1.8876e-08,0.15857,-1.606e-08,-4.6346e-06,-7.377e-08
3.5951e-07,1.9352e-08,0.15975,-1.6085e-08,-4.6737e-06,-7.4346e-08
3.653e-07,1.9839e-08,0.16094,-1.6109e-08,-4.7129e-06,-7.4924e-08
3.7116e-07,2.0335e-08,0.16213,-1.6134e-08,-4.7524e-06,-7.5504e-08
3.7709e-07,2.084e-08,0.16333,-1.6159e-08,-4.792e-06,-7.6086e-08
3.8308e-07,2.1356e-08,0.16453,-1.6183e-08,-4.8317e-06,-7.667e-08
3.8915e-07,2.1882e-08,0.16573,-1.6208e-08,-4.8717e-06,-7.7256e-08
3.9528e-07,2.2418e-08,0.16693,-1.6232e-08,-4.9118e-06,-7.7845e-08
4.0148e-07,2.2965e-08,0.16814,-1.6257e-08,-4.9522e-06,-7.8435e-08
4.0774e-07,2.3522e-08,0.16935,-1.6281e-08,-4.9927e-06,-7.9028e-08
4.1408e-07,2.409e-08,0.17056,-1.6306e-08,-5.0333e-06,-7.9623e-08
4.2049e-07,2.4668e-08,0.17177,-1.633e-08,-5.0742e-06,-8.0219e-08
4.2697e-07,2.5258e-08,0.17299,-1.6355e-08,-5.1152e-06,-8.0818e-08
4.3352e-07,2.5859e-08,0.17421,-1.6379e-08,-5.1565e-06,-8.1419e-08
4.4014e-07,2.6471e-08,0.17544,-1.6403e-08,-5.1979e-06,-8.2022e-08
4.4684e-07,2.7095e-08,0.17666,-1.6428e-08,-5.2395e-06,-8.2627e-08
4.536e-07,2.773e-08,0.17789,-1.6452e-08,-5.2812e-06,-8.3234e-08
